recording_id,sensor,schema_ok,n_samples,start_s,end_s,duration_s,sampling_rate_hz,min_interval_s,max_interval_s,largest_gap_over_median,missing_values,infinite_values,duplicate_rows,duplicate_timestamps,non_positive_intervals,non_positive_epoch_intervals,clock_interval_difference_max_s,integer_timestamp,participant_id,class
R001,Accelerometer,True,4170,0.04536962890625,41.76553173828125,41.720162109374996,99.93168732308945,0.010005126953128496,0.011883056640620282,1.1874939006530276,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R001,Gyroscope,True,4170,0.04536962890625,41.76553173828125,41.720162109374996,99.93168732308945,0.010005126953128496,0.011883056640620282,1.1874939006530276,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R001,Gravity,True,4170,0.04536962890625,41.76553173828125,41.720162109374996,99.93168732308945,0.010005126953128496,0.011883056640620282,1.1874939006530276,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R002,Accelerometer,True,4268,0.04540185546875,42.74320654296875,42.6978046875,99.93900207392807,0.010005126953124943,0.010632324218754263,1.062583872148758,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R002,Gyroscope,True,4268,0.04540185546875,42.74320654296875,42.6978046875,99.93900207392807,0.010005126953124943,0.010632324218754263,1.062583872148758,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R002,Gravity,True,4268,0.04540185546875,42.74320654296875,42.6978046875,99.93900207392807,0.010005126953124943,0.010632324218754263,1.062583872148758,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R003,Accelerometer,True,5098,0.044745361328125,51.04777099609375,51.00302563476563,99.93900207392807,0.010005126953124943,0.010631103515628126,1.0624618762965032,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R003,Gyroscope,True,5098,0.044745361328125,51.04777099609375,51.00302563476563,99.93900207392807,0.010005126953124943,0.010631103515628126,1.0624618762965032,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R003,Gravity,True,5098,0.044745361328125,51.04777099609375,51.00302563476563,99.93900207392807,0.010005126953124943,0.010631103515628126,1.0624618762965032,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R004,Accelerometer,True,3855,0.048792724609375,38.61515991210938,38.5663671875,99.93900207392807,0.010005126953124943,0.011883056640627387,1.1875808222522652,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
