time,seconds_elapsed,z,y,x
1788861982867823000,0.053822998046875,-0.26339200139045715,-0.7404903173446655,-0.17199744284152985
1788861982877829000,0.0638291015625,-0.225282683968544,-1.0685451030731201,-0.1845419853925705
1788861982887835100,0.073835205078125,-0.22901080548763275,-1.402072548866272,-0.14762623608112335
1788861982897841000,0.0838408203125,-0.2286616712808609,-1.629382610321045,-0.13259562849998474
1788861982907847200,0.09384716796875,-0.2064841389656067,-1.7342398166656494,-0.12803106009960175
1788861982917853200,0.103853271484375,-0.2612842619419098,-1.7461379766464233,-0.08103160560131073
1788861982927859000,0.11385888671875,-0.546614944934845,-1.6003352403640747,0.0644291490316391
1788861982937865000,0.123864990234375,-0.8266913294792175,-1.3096940517425537,0.13215945661067963
1788861982947871000,0.13387109375,-0.9337048530578613,-1.0596078634262085,0.1280103325843811
1788861982957877200,0.143877197265625,-0.9389795064926147,-0.6451746225357056,0.026849351823329926
1788861982967883000,0.153883056640625,-0.8866727948188782,-0.2665573060512543,-0.12603847682476044
1788861982977889000,0.163888916015625,-0.751663088798523,-0.26083844900131226,-0.4484516680240631
1788861982987895000,0.17389501953125,-0.588564932346344,-0.24153290688991547,-0.7183982133865356
1788861982997901000,0.183901123046875,-0.4153946042060852,0.16995982825756073,-0.8521649837493896
1788861983007907000,0.193906982421875,-0.29163622856140137,0.7962855100631714,-0.8768426775932312
1788861983017913000,0.2039130859375,-0.2527082562446594,1.2963240146636963,-0.8379495739936829
1788861983027920100,0.213920166015625,-0.29258993268013,1.1357485055923462,-0.8652154803276062
1788861983037926000,0.22392578125,-0.2835165560245514,0.14458364248275757,-0.9925324320793152
1788861983047932200,0.23393212890625,-0.1541510820388794,-0.5268820524215698,-0.9827412962913513
1788861983057938200,0.243938232421875,0.08423644304275513,-0.759383499622345,-0.8536067605018616
1788861983067944000,0.25394384765625,0.3826352059841156,-1.1623849868774414,-0.5217486023902893
1788861983077950000,0.263949951171875,0.5829403400421143,-1.3682446479797363,-0.25542151927948
1788861983087956000,0.2739560546875,0.67731773853302,-1.1494646072387695,-0.11240857094526291
1788861983097962200,0.283962158203125,0.7586501836776733,-0.6814314126968384,0.003096187487244606
1788861983107968000,0.293968017578125,0.907493531703949,-0.2794174253940582,0.20543229579925537
1788861983117974000,0.30397412109375,1.1623207330703735,-0.1881338506937027,0.42289939522743225
1788861983127980000,0.31397998046875,1.427034854888916,-0.42684364318847656,0.5847913026809692
1788861983137986300,0.323986328125,1.6819162368774414,-1.1043436527252197,0.6397370100021362
1788861983147992000,0.333991943359375,1.960058569908142,-2.0324227809906006,0.6149299144744873
