time,seconds_elapsed,z,y,x
1788862570727331000,0.0663310546875,8.968003127118944,3.907614465011656,-0.6898208046998828
1788862570737373400,0.07637353515625,8.883965830516814,4.102001603341102,-0.6473885340966284
1788862570747415300,0.086415283203125,8.798360261684655,4.290031189337372,-0.5957186256792396
1788862570757457200,0.09645703125,8.7124484033823,4.470134366248548,-0.5305879087947308
1788862570767499300,0.106499267578125,8.62533710616231,4.644167575596272,-0.45348771797940135
1788862570777541000,0.116541015625,8.54249340325892,4.800520751346648,-0.38883817220795897
1788862570787583200,0.126583251953125,8.481495621460676,4.912660399100184,-0.31683183393292125
1788862570797625300,0.136625244140625,8.44892606176734,4.972753925535082,-0.2403086027553305
1788862570807667200,0.146667236328125,8.43842220340967,4.9927884133040905,-0.18834086216883733
1788862570817709300,0.156709228515625,8.445491411143541,4.981370362710953,-0.17321628520796076
1788862570827751200,0.166751220703125,8.463509298393129,4.949690445333719,-0.1999135918670334
1788862570837793300,0.176793212890625,8.483311146450042,4.912269353955984,-0.27096670280415563
1788862570847835400,0.18683544921875,8.499735042506456,4.877098964114487,-0.3725552920574322
1788862570857877200,0.196877197265625,8.515501351436972,4.841424424143136,-0.46608580866996197
1788862570867919000,0.206919189453125,8.537540749287604,4.799185411089659,-0.49860268832799043
1788862570877961200,0.216961181640625,8.56968419252336,4.748272677715122,-0.42988625844381745
1788862570888003300,0.22700341796875,8.605159410530328,4.6954137787088746,-0.2733341260552406
1788862570898045200,0.237045166015625,8.633104233032464,4.6512788689062,-0.07418086016937159
1788862570908087300,0.24708740234375,8.650992940944432,4.616217492397129,0.1457641415935941
1788862570918129200,0.257129150390625,8.662480549642444,4.580445629531145,0.3890085238061845
1788862570928171300,0.267171142578125,8.669696472370624,4.534340004177391,0.6682145375695079
1788862570938213400,0.27721337890625,8.670483238834143,4.47236782438904,0.9955039795655757
1788862570948255200,0.287255126953125,8.653496448197961,4.4025826327621935,1.3800930064290762
1788862570958297300,0.29729736328125,8.606764507639408,4.33740727301836,1.8113219847187398
1788862570968339200,0.307339111328125,8.525069974771142,4.280883129502833,2.273238216086477
1788862570978381000,0.317381103515625,8.402117548841238,4.242456368213892,2.7525214695796367
1788862570988423400,0.32742333984375,8.235613565954566,4.236544513821602,3.2243981000781057
1788862570998465300,0.33746533203125,8.031264713320136,4.265062460036575,3.6712969411864873
1788862571008507100,0.347507080078125,7.785861381241679,4.3166207978382705,4.113092613936961
1788862571018549200,0.35754931640625,7.487721899753809,4.3726393299192186,4.580876714424789
1788862571028591000,0.367591064453125,7.129020689797401,4.418782072412967,5.081517082592844
1788862571038633500,0.377633544921875,6.713114076063037,4.4503851251617075,5.594511613160371
1788862571048675300,0.38767529296875,6.25021307144165,4.463261557869613,6.097911801430582
1788862571058717200,0.39771728515625,5.748038625574112,4.449079303260147,6.583018208119273
1788862571068759300,0.40775927734375,5.203659361183643,4.394190067470073,7.055736257877945
1788862571078801200,0.41780126953125,4.6218104900985955,4.289032533688843,7.510889424851536
1788862571088843300,0.42784326171875,4.022989149163664,4.133195783028007,7.931117408916354
1788862571098885400,0.437885498046875,3.430554002134502,3.9283509635701774,8.304802252992987
1788862571108927200,0.44792724609375,2.869215419636667,3.6751635534867644,8.627350784072279
1788862571118969000,0.457968994140625,2.3616858764767645,3.3754844413414595,8.899378503704071
1788862571129011200,0.46801123046875,1.9225874799862503,3.03753521977365,9.12400208260417
1788862571139053300,0.47805322265625,1.5543338671781122,2.6698309114113448,9.307332112607359
1788862571149095400,0.488095458984375,1.2524214430227876,2.2813952190570532,9.45500280020833
1788862571159137300,0.49813720703125,0.9907997473973781,1.8806342981368303,9.573501169338822
1788862571169179100,0.50817919921875,0.7407645907998085,1.4773689931802452,9.666386958307028
1788862571179221200,0.51822119140625,0.49663507804945106,1.081015440373495,9.734225984302162
1788862571189263400,0.528263427734375,0.2633268738417886,0.696663217940554,9.778328745400906
1788862571199305200,0.53830517578125,0.048041831280454056,0.3277932633323595,9.80105203386247
1788862571209347300,0.548347412109375,-0.13517279674871824,-0.0226436564872507,9.805691384100914
1788862571219389200,0.55838916015625,-0.2744757155721076,-0.35204836447108534,9.79648516433835
1788862571229431000,0.56843115234375,-0.366628495824337,-0.6587734130725265,9.777626734611392
1788862571239473400,0.578473388671875,-0.4161733749117702,-0.9418051956690847,9.752445531603694
1788862571249515300,0.588515380859375,-0.4325410838015377,-1.201865560261905,9.723106624394655
1788862571259557000,0.59855712890625,-0.4235649099351838,-1.4412581076182425,9.690911158710717
1788862571269599200,0.60859912109375,-0.39727735312078144,-1.6586641563549638,9.657193598026037
