time,seconds_elapsed,z,y,x
1788861244254333200,0.054333251953125,-0.3671810030937195,0.4848673343658447,-0.045054174959659576
1788861244264339200,0.064339111328125,-0.29516229033470154,0.4858328104019165,0.11445954442024231
1788861244274345500,0.074345458984375,-0.24177522957324982,0.5805710554122925,0.24675101041793823
1788861244284351200,0.084351318359375,-0.24425292015075684,0.6263445615768433,0.3072062134742737
1788861244294357200,0.094357177734375,-0.2599849998950958,0.4720889627933502,0.28650254011154175
1788861244304363300,0.10436328125,-0.22846338152885437,0.24643643200397491,0.28677499294281006
1788861244314370300,0.114370361328125,-0.187564417719841,0.14131268858909607,0.3780103623867035
1788861244324376300,0.124376220703125,-0.21889832615852356,0.18442122638225555,0.5311138033866882
1788861244334382300,0.13438232421875,-0.3249797523021698,0.41748616099357605,0.6632183194160461
1788861244344388400,0.144388427734375,-0.4960988461971283,0.6386239528656006,0.7497790455818176
1788861244354394400,0.154394287109375,-0.6876110434532166,0.6815570592880249,0.718971312046051
1788861244364400400,0.164400390625,-0.8183589577674866,0.5478640794754028,0.5283080339431763
1788861244374406400,0.174406494140625,-0.8327794671058655,0.3021448254585266,0.2725539803504944
1788861244384412400,0.184412353515625,-0.7651850581169128,0.08942217379808426,0.11666054278612137
1788861244394418200,0.194418212890625,-0.7025858759880066,-0.08563379943370819,0.09597630053758621
1788861244404425500,0.204425537109375,-0.6757462620735168,-0.22896112501621246,0.1587185114622116
1788861244414431200,0.21443115234375,-0.7661060094833374,-0.3285202085971832,0.21306245028972626
1788861244424437200,0.224437255859375,-0.8232020735740662,-0.4803522229194641,0.20633989572525024
1788861244434443300,0.234443359375,-0.7596840858459473,-0.6948463916778564,0.10366678237915039
1788861244444449500,0.244449462890625,-0.5952332615852356,-0.9302129745483398,-0.05754793435335159
1788861244454455300,0.254455322265625,-0.33376994729042053,-1.0109244585037231,-0.22557368874549866
1788861244464461300,0.26446142578125,-0.01120765507221222,-0.9275144338607788,-0.352245956659317
1788861244474467300,0.27446728515625,0.32353463768959045,-0.7931044101715088,-0.41369709372520447
1788861244484473300,0.284473388671875,0.6895586848258972,-0.6792809367179871,-0.45222902297973633
1788861244494480400,0.29448046875,1.0256662368774414,-0.594596803188324,-0.4445735812187195
1788861244504486400,0.304486328125,0.9297246336936951,-0.6302353739738464,-0.5099208354949951
1788861244514492400,0.314492431640625,0.3924505412578583,-0.7346768379211426,-0.593320369720459
1788861244524498400,0.32449853515625,-0.12516066431999207,-0.8338854312896729,-0.4747585356235504
1788861244534504400,0.33450439453125,-0.3229660987854004,-1.1594855785369873,-0.11912703514099121
1788861244544510500,0.344510498046875,-0.3295806050300598,-1.5013113021850586,0.32690930366516113
1788861244554516200,0.35451611328125,-0.39010998606681824,-1.6308344602584839,0.6725996136665344
1788861244564522500,0.3645224609375,-0.581617534160614,-1.547797441482544,0.8100507855415344
1788861244574528500,0.374528564453125,-0.7554060816764832,-1.5251398086547852,0.7761431336402893
1788861244584535300,0.384535400390625,-0.8202553987503052,-1.6577454805374146,0.6965601444244385
1788861244594541300,0.394541259765625,-0.8124107718467712,-1.7688475847244263,0.6071916818618774
1788861244604547600,0.404547607421875,-0.7596394419670105,-1.7933167219161987,0.48141297698020935
1788861244614553300,0.41455322265625,-0.69078528881073,-1.722550868988037,0.394949734210968
1788861244624559400,0.424559326171875,-0.6365119218826294,-1.6554988622665405,0.3607028126716614
1788861244634565400,0.4345654296875,-0.588794469833374,-1.596964716911316,0.33807048201560974
1788861244644571400,0.4445712890625,-0.5881184935569763,-1.4546047449111938,0.2576107680797577
1788861244654577400,0.454577392578125,-0.6362258791923523,-1.1294150352478027,0.0443306528031826
1788861244664584400,0.46458447265625,-0.6966708302497864,-0.6489455103874207,-0.24971957504749298
1788861244674590500,0.474590576171875,-0.7589027881622314,-0.20422130823135376,-0.4909071624279022
1788861244684596200,0.48459619140625,-0.727135956287384,0.02846056967973709,-0.6208162307739258
1788861244694602500,0.4946025390625,-0.615430474281311,0.13275422155857086,-0.6063933372497559
1788861244704608500,0.5046083984375,-0.4999741017818451,0.20147302746772766,-0.4713526666164398
1788861244714614300,0.5146142578125,-0.3927706778049469,0.09143760055303574,-0.27756616473197937
1788861244724620300,0.524620361328125,-0.32528722286224365,-0.3422991931438446,-0.1089039146900177
